blocksize_bits,blocksize_kB,smallprime_faster,mediumstep_faster,vectorstep_faster,passes,elapsed_time,sample_duration,average
262144,32,500,16,64,5,0.000453,0.000400,11037.527594
131072,16,0,16,64,4,0.000451,0.000400,8869.179601
131072,16,500,16,64,5,0.000465,0.000400,10752.688172
1048576,128,0,16,96,5,0.000419,0.000400,11933.174224
1048576,128,500,16,96,5,0.000415,0.000400,12048.192771
524288,64,0,16,96,5,0.000422,0.000400,11848.341232
524288,64,500,16,96,5,0.000405,0.000400,12345.679012
262144,32,0,16,96,6,0.000455,0.000400,13186.813187
262144,32,500,16,96,5,0.000410,0.000400,12195.121951
131072,16,0,16,96,4,0.000404,0.000400,9900.990099
131072,16,500,16,96,5,0.000421,0.000400,11876.484561
1048576,128,0,16,128,6,0.000478,0.000400,12552.301255
1048576,128,500,16,128,6,0.000477,0.000400,12578.616352
524288,64,0,16,128,6,0.000461,0.000400,13015.184382
524288,64,500,16,128,5,0.000401,0.000400,12468.827930
262144,32,0,16,128,6,0.000453,0.000400,13245.033113
262144,32,500,16,128,5,0.000422,0.000400,11848.341232
131072,16,0,16,128,4,0.000422,0.000400,9478.672986
131072,16,500,16,128,5,0.000420,0.000400,11904.761905
1048576,128,0,16,160,6,0.000464,0.000400,12931.034483
1048576,128,500,16,160,6,0.000458,0.000400,13100.436681
524288,64,0,16,160,6,0.000470,0.000400,12765.957447
524288,64,500,16,160,6,0.000454,0.000400,13215.859031
262144,32,0,16,160,5,0.000424,0.000400,11792.452830
262144,32,500,16,160,5,0.000401,0.000400,12468.827930
131072,16,0,16,160,4,0.000459,0.000400,8714.596950
131072,16,500,16,160,6,0.000475,0.000400,12631.578947
1048576,128,0,16,192,5,0.000403,0.000400,12406.947891
1048576,128,500,16,192,6,0.000460,0.000400,13043.478261
524288,64,0,16,192,6,0.000458,0.000400,13100.436681
524288,64,500,16,192,6,0.000456,0.000400,13157.894737
262144,32,0,16,192,5,0.000430,0.000400,11627.906977
262144,32,500,16,192,5,0.000410,0.000400,12195.121951
131072,16,0,16,192,4,0.000530,0.000400,7547.169811
131072,16,500,16,192,5,0.000407,0.000400,12285.012285
1048576,128,0,16,224,6,0.000477,0.000400,12578.616352
1048576,128,500,16,224,5,0.000425,0.000400,11764.705882
524288,64,0,16,224,6,0.000466,0.000400,12875.536481
524288,64,500,16,224,6,0.000465,0.000400,12903.225806
262144,32,0,16,224,5,0.000495,0.000400,10101.010101
262144,32,500,16,224,5,0.000407,0.000400,12285.012285
131072,16,0,16,224,3,0.000422,0.000400,7109.004739
131072,16,500,16,224,5,0.000408,0.000400,12254.901961
1048576,128,0,16,256,5,0.000418,0.000400,11961.722488
1048576,128,500,16,256,5,0.000411,0.000400,12165.450122
524288,64,0,16,256,5,0.000408,0.000400,12254.901961
524288,64,500,16,256,6,0.000474,0.000400,12658.227848
262144,32,0,16,256,4,0.000406,0.000400,9852.216749
262144,32,500,16,256,5,0.000418,0.000400,11961.722488
131072,16,0,16,256,3,0.000492,0.000400,6097.560976
131072,16,500,16,256,5,0.000424,0.000400,11792.452830
1048576,128,0,32,0,4,0.000462,0.000400,8658.008658
1048576,128,500,32,0,4,0.000459,0.000400,8714.596950
524288,64,0,32,0,4,0.000471,0.000400,8492.569002
524288,64,500,32,0,4,0.000486,0.000400,8230.452675
262144,32,0,32,0,4,0.000415,0.000400,9638.554217
262144,32,500,32,0,4,0.000455,0.000400,8791.208791
131072,16,0,32,0,4,0.000478,0.000400,8368.200837
131072,16,500,32,0,4,0.000471,0.000400,8492.569002
1048576,128,0,32,32,4,0.000453,0.000400,8830.022075
1048576,128,500,32,32,4,0.000453,0.000400,8830.022075
524288,64,0,32,32,4,0.000461,0.000400,8676.789588
524288,64,500,32,32,4,0.000481,0.000400,8316.008316
262144,32,0,32,32,4,0.000412,0.000400,9708.737864
262144,32,500,32,32,4,0.000458,0.000400,8733.624454
131072,16,0,32,32,4,0.000484,0.000400,8264.462810
131072,16,500,32,32,4,0.000476,0.000400,8403.361345
1048576,128,0,32,64,5,0.000493,0.000400,10141.987830
1048576,128,500,32,64,5,0.000492,0.000400,10162.601626
524288,64,0,32,64,5,0.000491,0.000400,10183.299389
524288,64,500,32,64,4,0.000425,0.000400,9411.764706
262144,32,0,32,64,5,0.000440,0.000400,11363.636364
262144,32,500,32,64,5,0.000496,0.000400,10080.645161
131072,16,0,32,64,4,0.000428,0.000400,9345.794393
131072,16,500,32,64,5,0.000497,0.000400,10060.362173
1048576,128,0,32,96,5,0.000467,0.000400,10706.638116
1048576,128,500,32,96,5,0.000448,0.000400,11160.714286
524288,64,0,32,96,5,0.000448,0.000400,11160.714286
524288,64,500,32,96,5,0.000466,0.000400,10729.613734
262144,32,0,32,96,5,0.000433,0.000400,11547.344111
262144,32,500,32,96,5,0.000458,0.000400,10917.030568
131072,16,0,32,96,4,0.000428,0.000400,9345.794393
131072,16,500,32,96,5,0.000461,0.000400,10845.986985
1048576,128,0,32,128,5,0.000445,0.000400,11235.955056
1048576,128,500,32,128,5,0.000447,0.000400,11185.682327
524288,64,0,32,128,5,0.000434,0.000400,11520.737327
524288,64,500,32,128,5,0.000436,0.000400,11467.889908
262144,32,0,32,128,5,0.000427,0.000400,11709.601874
262144,32,500,32,128,5,0.000456,0.000400,10964.912281
131072,16,0,32,128,4,0.000452,0.000400,8849.557522
131072,16,500,32,128,5,0.000439,0.000400,11389.521640
1048576,128,0,32,160,5,0.000427,0.000400,11709.601874
1048576,128,500,32,160,5,0.000423,0.000400,11820.330969
524288,64,0,32,160,5,0.000436,0.000400,11467.889908
524288,64,500,32,160,5,0.000422,0.000400,11848.341232
262144,32,0,32,160,5,0.000442,0.000400,11312.217195
262144,32,500,32,160,5,0.000444,0.000400,11261.261261
131072,16,0,32,160,4,0.000504,0.000400,7936.507937
131072,16,500,32,160,5,0.000441,0.000400,11337.868481
1048576,128,0,32,192,5,0.000431,0.000400,11600.928074
1048576,128,500,32,192,5,0.000427,0.000400,11709.601874
524288,64,0,32,192,5,0.000426,0.000400,11737.089202
524288,64,500,32,192,5,0.000436,0.000400,11467.889908
262144,32,0,32,192,5,0.000472,0.000400,10593.220339
262144,32,500,32,192,5,0.000453,0.000400,11037.527594
131072,16,0,32,192,3,0.000431,0.000400,6960.556845
131072,16,500,32,192,5,0.000462,0.000400,10822.510823
1048576,128,0,32,224,5,0.000435,0.000400,11494.252874
1048576,128,500,32,224,5,0.000431,0.000400,11600.928074
524288,64,0,32,224,5,0.000432,0.000400,11574.074074
524288,64,500,32,224,5,0.000439,0.000400,11389.521640
262144,32,0,32,224,4,0.000425,0.000400,9411.764706
262144,32,500,32,224,5,0.000460,0.000400,10869.565217
131072,16,0,32,224,3,0.000452,0.000400,6637.168142
131072,16,500,32,224,5,0.000457,0.000400,10940.919037
1048576,128,0,32,256,5,0.000469,0.000400,10660.980810
1048576,128,500,32,256,5,0.000440,0.000400,11363.636364
524288,64,0,32,256,5,0.000440,0.000400,11363.636364
524288,64,500,32,256,5,0.000437,0.000400,11441.647597
262144,32,0,32,256,4,0.000441,0.000400,9070.294785
262144,32,500,32,256,4,0.000417,0.000400,9592.326139
131072,16,0,32,256,3,0.000504,0.000400,5952.380952
131072,16,500,32,256,5,0.000464,0.000400,10775.862069
1048576,128,0,48,0,4,0.000444,0.000400,9009.009009
1048576,128,500,48,0,4,0.000454,0.000400,8810.572687
524288,64,0,48,0,4,0.000457,0.000400,8752.735230
524288,64,500,48,0,4,0.000439,0.000400,9111.617312
262144,32,0,48,0,5,0.000498,0.000400,10040.160643
